ID,Form,Segmented,Gloss,Translation,Parameter_ID,Lexeme_ID,Morpheme_IDs,Gramm,Source,Audio,POS
tapasajre-muddy,tapasajre,,,muddy,muddy,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1857_AnFo_tapasajre.wav,adv
tasujre-wet,tasujre,,,wet,wet,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1896_AnFo_tasujre .wav,adv
tatune-hot,tatune,,,hot,hot,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1906_PaPe_tatune.wav,adv
tatunemi-hot,tatunemï,,,hot,hot,,,,muller2021yawarana,,n
tawanke-knowledgeable,tawanke,,,knowledgeable,knowledgeable,,,,muller2021yawarana,,adv
tayojtesemi-good-fisher,tayojtësemï,,,good fisher,good-fisher,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1928_AnFo_ta_yojtesemi.wav,n
tayurake-blue-green,tayurake,,,blue; green,blue-green,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_1930_PaPe_tayurake.wav,adv
tejweti-hammock,tejweti,,,hammock,hammock,,,,muller2021yawarana,NOT RECORDED,n
tejwetune-sick,tejwetune,,,sick,sick,,,,muller2021yawarana,,adv
tejetune-sick,tejetune,,,sick,sick,,,,muller2021yawarana,,adv
tepese-expensive,tepese,,,expensive,expensive,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180406/YarLex_2004_PaPe_tepese.wav,adv
terepune-sick,terepune,,,sick,sick,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180406/YarLex_2019_AnFo_terepune-02.wav,adv
terepunu-sick,terepunu,,,sick,sick,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180406/YarLex_2020_AnFo_terepunu.wav,n
tesekemi-named,tesekemï,,,named,named,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2030_PaPe_teseke.wav,adv
tokoke-deep,tokoke,,,deep,deep,,,,muller2021yawarana,,adv
toromake-one-who-prays,toromake,,,one who prays,one-who-prays,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2110_AnFo_toromake.wav,adv
turupore-voluntarily,turupore,,,voluntarily,voluntarily,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2155_AnFo_turupore.wav,adv
tenkeyare-competent,tënkëyare,,,competent,competent,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180406/YarLex_1983_PaPe_tenkeyare.wav,adv
tensamire-jealous,tënsamire,,,jealous,jealous,,,,muller2021yawarana,,adv
tenuyaye-sensible,tënuyaye,,,sensible,sensible,,,,muller2021yawarana,,adv
tepujre-clingy,tëpujre,,,clingy,clingy,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180406/YarLex_2014_PaPe_tepujre.wav,adv
tepire-flowery,tëpîre,,,flowery,flowery,,,,muller2021yawarana,,adv
tipire-flowery,tïpîre,,,flowery,flowery,,,,muller2021yawarana,,adv
waimure-speaking,waimure,,,speaking,speaking,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180418/YarLex_3097_PaPe_waimure.wav,adv
wajyare-happy,wajyare,,,happy,happy,,,,muller2021yawarana,NOT RECORDED,adv
wanemojye-round,wanëmojye,,,round,round,,,,muller2021yawarana,NOT RECORDED,adv
wanamojye-round,wanamojye,,,round,round,,,,muller2021yawarana,NOT RECORDED,adv
wentari-fill-up-on-food,wentari,,,fill up on food,fill-up-on-food,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2383_AnFo_wentari.wav,vi
weseyupe-brave,wëseyupe,,,brave,brave,,,,muller2021yawarana,,adv
yajrape-unripe,yajrape,,,unripe,unripe,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180412/YarLex_2470_AnFo_yajrape.wav,adv
yasujmari-moisten,yasujmari,,,moisten,moisten,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2585_PaPe_yasujmari.wav,vt
yurape-new,yurape,,,new,new,,,,muller2021yawarana,NOT RECORDED,adv
yemire-hungry,yëmïre,,,hungry,hungry,,,,muller2021yawarana,,adv
yesajye-sour,yësajye,,,sour,sour,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180414/YarLex_2744_PaPe_yesajye-02.wav,adv
