ID,Name,Description,Comment,Source,Type,Metadata
histanfo,Historia personal por AnFo,Personal narrative about childhood in San Juan Manapiare. Aunt sends uncle to go hunt and fish.,"is *ya* in (21) really OBL, and not ERG? see (22); why is htere no supine in (24)?",,Personal narrative,"{""genre"": ""Personal narrative"", ""tags"": [""personal""]}"
ctorat,Cuento de las ratas por AnFo,"A man goes up in the forest to sleep. There, mice are dancing, drinking chicha, and vomiting. He has to pee really bad. The mice are gone in the morning, and their vomit has disappeared. The man goes home.",short text; /wï/ often [u] (wïnïjse),,Story,"{""genre"": ""Story"", ""tags"": [""narrative""]}"
convrisamaj,Conversación sobre la risa entre GrMe y ElPe,"Some people laugh about everything, others stay alone in their house and don't have anything to laugh about.",TBD,,Conversation,"{""genre"": ""Conversation"", ""tags"": [""conversation""]}"
