ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source
kejkepe-salamander,yab,kejkepe,,salamander,kejkepe,k e h k e p e,,
kinta-become-tired,yab,kinta,,become_tired,kinta,k i n t a,,
kocha-tail,yab,kocha,,tail,kocha,k o t͡ʃ a,,
kojpa-night,yab,kojpa,,night,kojpa,k o h p a,,
konopo-rain,yab,konopo,,rain,konopo,k o n o p o,,
ko-brassolis-sophorae,yab,ko,,brassolis_sophorae,ko,k o,,
kori-brassolis-sophorae,yab,korï,,brassolis_sophorae,korï,k o r ɨ,,
korokoro-c,yab,korokoro,,C.,korokoro,k o r o k o r o,,
kuku-answer,yab,kuku,,answer,kuku,k u k u,,
kune-cook,yab,kunë,,cook,kunë,k u n ə,,
kuno-cook,yab,kuno,,cook,kuno,k u n o,,
kuru-prochilodus-mariae,yab,kuru,,prochilodus_mariae,kuru,k u r u,,
kuruwa-coroba-palm,yab,kuruwa,,coroba_palm,kuruwa,k u r u w a,,
kuya-tree-sp,yab,kuya,,tree.sp,kuya,k u j a,,
kuyuwi-bird-sp,yab,kuyuwi,,bird.sp,kuyuwi,k u j u w i,,
kejma-hunt,yab,këjma,,hunt,këjma,k ə h m a,,
kemu-pus,yab,këmu,,pus,këmu,k ə m u,,
keta-stink,yab,këta,,stink,këta,k ə t a,,
ketejwate-cotton,yab,këtëjwatë,,cotton,këtëjwatë,k ə t ə h w a t ə,,
keya-think,yab,këya,,think,këya,k ə j a,,
kimiy-chili,yab,kïmïy,,chili,kïmïy,k ɨ m ɨ j,,
kimii-chili,yab,kïmïi,,chili,kïmïi,k ɨ m ɨ i,,
kiripi-go-out,yab,kïrïpï,,go_out,kïrïpï,k ɨ r ɨ p ɨ,,
majawa-m,yab,majawa,,M.,majawa,m a h a w a,,
majpe-m,yab,majpë,,M.,majpë,m a h p ə,,
maka-ceiba-pentandra,yab,maka,,ceiba_pentandra,maka,m a k a,,
makarike-cayman,yab,makarikë,,cayman,makarikë,m a k a r i k ə,,
makuyupi-catfish-sp,yab,makuyupi,,catfish.sp,makuyupi,m a k u j u p i,,
make-mom,yab,makë,,mom,makë,m a k ə,,
mapara-chicken,yab,mapara,,chicken,mapara,m a p a r a,,
mare-still,yab,marë,,still,marë,m a r ə,,
mare-still-1,yab,mare,,still,mare,m a r e,,
mati-breast,yab,mati,,breast,mati,m a t i,,
mayawaka-m,yab,mayawaka,,M.,mayawaka,m a j a w a k a,,
mejya-cover,yab,mejya,,cover,mejya,m e h j a,,
miti-root,yab,miti,,root; vein,miti,m i t i,,
mone-vagina,yab,mone,,vagina,mone,m o n e,,
moneka-girl-voc,yab,moneka,,girl.VOC,moneka,m o n e k a,,
