ID,Wordform_ID,Example_ID,Index,Parameter_ID
convcosnoind-35-1,ma-rst,convcosnoind-35,1,
convcosnoind-36-0,ejne-1-2pro,convcosnoind-36,0,
convcosnoind-36-2,wejsape-cop-pfv,convcosnoind-36,2,
convcosnoind-36-3,sere-bitter-manioc,convcosnoind-36,3,
convcosnoind-36-4,ke-ins,convcosnoind-36,4,
convcosnoind-36-5,ma-rst,convcosnoind-36,5,
convcosnoind-37-0,ejne-1-2pro,convcosnoind-37,0,
convcosnoind-37-1,okiri-chicha-pert,convcosnoind-37,1,
convcosnoind-38-0,tewi-3pro,convcosnoind-38,0,
convcosnoind-38-1,ma-rst,convcosnoind-38,1,
convcosnoind-40-0,sukutaka-yucuta,convcosnoind-40,0,
convcosnoind-40-1,ma-rst,convcosnoind-40,1,
convcosnoind-42-0,tewi-3pro,convcosnoind-42,0,
convcosnoind-42-1,ma-rst,convcosnoind-42,1,
convcosnoind-42-2,taki-cnfrm,convcosnoind-42,2,
convcosnoind-43-0,nwa-thus,convcosnoind-43,0,
convcosnoind-43-1,re-emp,convcosnoind-43,1,
convcosnoind-43-3,ejne-1-2pro,convcosnoind-43,3,
convcosnoind-43-5,warai-like,convcosnoind-43,5,
convcosnoind-43-6,pirare-neg-exist,convcosnoind-43,6,
convcosnoind-44-0,aaa-ah,convcosnoind-44,0,
convcosnoind-44-1,ejne-1-2pro,convcosnoind-44,1,
convcosnoind-44-2,neke-cntr,convcosnoind-44,2,
convcosnoind-44-3,ne-ints,convcosnoind-44,3,
convcosnoind-44-6,ma-rst,convcosnoind-44,6,
convcosnoind-45-0,e-e-yes,convcosnoind-45,0,
convcosnoind-45-3,ma-rst,convcosnoind-45,3,
convcosnoind-46-0,intipijke-small,convcosnoind-46,0,
convcosnoind-46-1,tawara-too,convcosnoind-46,1,
convcosnoind-46-2,taji-foc,convcosnoind-46,2,
convcosnoind-48-0,eni-prox-inan,convcosnoind-48,0,
convcosnoind-48-1,taki-cnfrm,convcosnoind-48,1,
convcosnoind-48-3,ne-ints,convcosnoind-48,3,
convcosnoind-49-2,intipijke-small,convcosnoind-49,2,
convcosnoind-49-3,ma-rst,convcosnoind-49,3,
convcosnoind-50-0,yawe-loc,convcosnoind-50,0,
convcosnoind-50-3,tainija-3p-see-neg,convcosnoind-50,3,
convcosnoind-51-0,tewi-3pro,convcosnoind-51,0,
convcosnoind-51-2,kwa-how,convcosnoind-51,2,
convcosnoind-51-5,sukase-all,convcosnoind-51,5,
convcosnoind-51-7,ne-ints,convcosnoind-51,7,
convcosnoind-52-0,toto-non-indian,convcosnoind-52,0,
convcosnoind-52-1,yoti-lk-meat-pert,convcosnoind-52,1,
convcosnoind-52-2,tajtoj-say-circ-nmlz,convcosnoind-52,2,
convcosnoind-53-1,tawara-too,convcosnoind-53,1,
convcosnoind-54-0,aaa-ah,convcosnoind-54,0,
convcosnoind-54-1,e-e-yes,convcosnoind-54,1,
convcosnoind-55-0,aaa-ah,convcosnoind-55,0,
convcosnoind-55-1,ejne-1-2pro,convcosnoind-55,1,
convcosnoind-55-2,inijpe-see-pst-acnnmlz,convcosnoind-55,2,
convcosnoind-56-0,tewi-3pro,convcosnoind-56,0,
convcosnoind-56-2,ma-rst,convcosnoind-56,2,
convcosnoind-57-2,ma-rst,convcosnoind-57,2,
convcosnoind-58-0,kampra-big,convcosnoind-58,0,
convcosnoind-58-1,ke-ins,convcosnoind-58,1,
convcosnoind-58-2,ejne-1-2pro,convcosnoind-58,2,
convcosnoind-58-3,chawe-loc,convcosnoind-58,3,
convcosnoind-59-0,e-e-yes,convcosnoind-59,0,
convcosnoind-59-1,kampra-big,convcosnoind-59,1,
convcosnoind-59-2,ke-ins,convcosnoind-59,2,
convcosnoind-59-3,ejne-1-2pro,convcosnoind-59,3,
convcosnoind-59-4,chiyawe-when,convcosnoind-59,4,
convcosnoind-59-5,re-emp,convcosnoind-59,5,
convcosnoind-60-0,intipijke-small,convcosnoind-60,0,
convcosnoind-60-1,chawe-loc,convcosnoind-60,1,
convcosnoind-60-2,taki-cnfrm,convcosnoind-60,2,
convcosnoind-60-3,tewi-3pro,convcosnoind-60,3,
convcosnoind-60-4,yenija-drink-neg-1,convcosnoind-60,4,
convcosnoind-61-0,yeneja-eat-meat-neg,convcosnoind-61,0,
convcosnoind-61-1,tewarai-3-like,convcosnoind-61,1,
convcosnoind-62-0,aro-rice,convcosnoind-62,0,
convcosnoind-62-1,warai-like,convcosnoind-62,1,
convcosnoind-62-2,ejne-1-2pro,convcosnoind-62,2,
convcosnoind-62-3,yeneja-eat-meat-neg,convcosnoind-62,3,
convcosnoind-63-0,sere-bitter-manioc,convcosnoind-63,0,
convcosnoind-63-1,ke-ins,convcosnoind-63,1,
convcosnoind-63-2,ma-rst,convcosnoind-63,2,
convcosnoind-63-3,ejne-1-2pro,convcosnoind-63,3,
convcosnoind-64-0,tewi-3pro,convcosnoind-64,0,
convcosnoind-64-1,taki-cnfrm,convcosnoind-64,1,
convcosnoind-64-2,ejne-1-2pro,convcosnoind-64,2,
convcosnoind-64-3,yoti-lk-meat-pert,convcosnoind-64,3,
convcosnoind-65-0,ejne-1-2pro,convcosnoind-65,0,
convcosnoind-65-2,sereke-bitter-manioc-prop,convcosnoind-65,2,
