ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
atapej-seize-on,yab,atapëj,atapej-seize-on,seize on,at apëj,a t a p ə h,,,
ejpenaka-return,yab,ëjpënaka,ejpenaka-return,return,ëj pënaka,ə h p ə n a k a,,,
katupuma-pile-up,yab,katupuma,katupuma-pile-up,pile up,katupu ma,k a t u p u m a,,,
keyama-raise,yab,këyama,keyama-raise,raise,këya ma,k ə j a m a,,,
kirima-thicken,yab,kïrïma,kirima-thicken,thicken,kïrï ma,k ɨ r ɨ m a,,,
morontama-cause-pain,yab,morontama,morontama-cause-pain,cause pain,moron ta ma,m o r o n t a m a,,,
pejma-bewitch,yab,pejma,pejma-bewitch,bewitch,pej ma,p e h m a,,,
yajwema-sweeten,yab,yajwema,yajwema-sweeten,sweeten,yajwe ma,j a h w e m a,,,
yapima-make-worse,yab,yapima,yapima-make-worse,make worse,yapi ma,j a p i m a,,,
yatuma-warm,yab,yatuma,yatuma-warm,warm,yatu ma,j a t u m a,,,
yerema-feed,yab,yerema,yerema-feed,feed,yere ma,j e r e m a,,,
erema-feed,yab,erema,yerema-feed,feed,ere ma,e r e m a,,,
yakarama-tell,yab,yakarama,yakarama-tell,tell,yakara ma,j a k a r a m a,,,
kojpaye-at-night,yab,kojpaye,kojpaye-at-night,at night,kojpa ye,k o h p a j e,,,
kamprake-big,yab,kamprake,kamprake-big,big,kampra ke,k a m p r a k e,,,
tejpore-tasty,yab,tejpore,tejpore-tasty,tasty,tejpo re,t e h p o r e,,,
tapire-red,yab,tapire,tapire-red,red,tapi re,t a p i r e,,,
pechine-odorous,yab,pëchine,pechine-odorous,odorous,pëchi ne,p ə t͡ʃ i n e,,,
pochine-odorous,yab,pochine,pechine-odorous,odorous,pochi ne,p o t͡ʃ i n e,,,
makepijke-second-mother,yab,makëpïjkë,makepijke-second-mother,second mother,makë pïjkë,m a k ə p ɨ h k ə,,,
meteye-thin,yab,mëtëye,meteye-thin,thin,mëtë ye,m ə t ə j e,,,
tepeti-go-plur,yab,tëpëti,tepeti-go-plur,go (PLUR),të pëti,t ə p ə t i,,,
sejpeti-dream,yab,sejpëti,sejpeti-dream,dream,sej pëti,s e h p ə t i,,,
sejpej-dream,yab,sejpëj,sejpeti-dream,dream,sej pëj,s e h p ə h,,,
mujnajte-bury,yab,mujnajtë,mujnajte-bury,bury,mujna jtë,m u h n a h t ə,,,
asereke-dry-cough-prop,yab,asere-ke,asereke-dry-cough-prop,dry_cough-PROP,asere ke,,,,
enirono-now-nmlz,yab,eniro-no,enirono-now-nmlz,now-NMLZ; today-NMLZ,eniro no,,,,
ijmokani-cook-agtnmlz,yab,ijmoka-ni,ijmokani-cook-agtnmlz,cook-AGTNMLZ,ijmoka ni,,,,
kamparake-big-prop,yab,kampara-ke,kamparake-big-prop,big-PROP,kampara ke,,,,
kereke-old-prop,yab,kërë-ke,kereke-old-prop,old-PROP,kërë ke,,,,
keyari-think-acnnmlz,yab,këya-ri,keyari-think-acnnmlz,think-ACNNMLZ,këya ri,,,,
nonoke-earth-prop,yab,nono-ke,nonoke-earth-prop,earth-PROP,nono ke,,,,
nopano-good-nmlz,yab,nop-ano,nopano-good-nmlz,good-NMLZ,nop ano,,,,
pejmani-bewitch-agtnmlz,yab,pejma-ni,pejmani-bewitch-agtnmlz,bewitch-AGTNMLZ,pej ma ni,,,,
teijpono-far-nmlz,yab,teijpo-no,teijpono-far-nmlz,far-NMLZ; long-NMLZ,teijpo no,,,,
tejporemi-tasty-nmlz,yab,tejpore-mï,tejporemi-tasty-nmlz,tasty-NMLZ,tejpo re mï,,,,
weseyuri-be-brave-acnnmlz,yab,weseyu-ri,weseyuri-be-brave-acnnmlz,be_brave-ACNNMLZ,weseyu ri,,,,
tari-say-acnnmlz,yab,ta-ri,tari-say-acnnmlz,say-ACNNMLZ,ta ri,,,,
chiri-cop-acnnmlz,yab,chi-ri,chiri-cop-acnnmlz,COP-ACNNMLZ,chi ri,,,,
yenese-eat-meat-ptcp,yab,yënë-se,yenese-eat-meat-ptcp,eat(meat)-PTCP; eat(meat)-SUP,yënë se,,,,
tajtane-say-cncs,yab,taj-tane,tajtane-say-cncs,say-CNCS,taj tane,,,,
tajtoj-say-circ-nmlz,yab,taj-toj,tajtoj-say-circ-nmlz,say-CIRC.NMLZ,taj toj,,,,
inijpe-see-pst-acnnmlz,yab,ini-jpë,inijpe-see-pst-acnnmlz,see-PST.ACNNMLZ,ini jpë,,,,
sereke-bitter-manioc-prop,yab,sere-ke,sereke-bitter-manioc-prop,bitter_manioc-PROP,sere ke,,,,
