ID,Language_ID,Form,Description,Part_Of_Speech,Parameter_ID,Morpho_Segments,Stem_ID,Segments,Comment,Source,Media_ID
usujta-1-urinate-ipfv,yab,usujta,,vi,1-urinate-IPFV,u sujta ∅,,,,,
waijtatomojpe-mouse-pl-pst,yab,waijtatomojpë,,n,mouse-PL-PST,waijta tomo jpë,,,,,
tipasekontomo-go-in-group-pst-pl,yab,tipasekontomo,,vi,go_in_group-PST-PL,tipa se kontomo,,,,,
ejwenakajpe-vomit-pst-acnnmlz,yab,ëjwenakajpë,,n,vomit-PST.ACNNMLZ,ëjwenaka jpë,,,,,
tainpetiri-3p-see-plur-ipfv,yab,tainpëtiri,,vt,3P-see-PLUR-IPFV,ta in pëti ri,,,,,
inpeti-see-plur-ipfv,yab,inpëti,,vt,see-PLUR-IPFV,in pëti ∅,,,,,
wenakajpe-vomit-pst,yab,wenakajpë,,vt,vomit-PST,wenaka jpë,,,,,
wenarujpe-vomit-pert-pst,yab,wenarujpë,,n,vomit-PERT-PST,wena ru jpë,,,,,
kerejpe-old,yab,kërëjpë,,n,old,kërëjpë,,,,,
nwajtekonton-dance-ipfv-pl,yab,nwajtëkonton,,vi,dance-IPFV-PL,nwajtë ∅ konton,,,,,
tipapejsejne-go-in-group-plur-pst-pl,yab,tipapëjsejne,,vi,go_in_group-PLUR-PST-PL,tipa pëj se jne,,,,,
waijtajne-mouse-pl,yab,waijtajne,,n,mouse-PL,waijta jne,,,,,
ajpachi-undergrowth,yab,ajpachi,,n,undergrowth,ajpachi,,,,,
wonse-enter-pst,yab,wonse,,vi,enter-PST,won se,,,,,
ochi-o,yab,ochi,,n,O.,ochi,,,,,
yakino-lk-younger-brother-pert,yab,yakino,,n,LK-younger_brother-PERT,y akino ∅,,,,,
tototom-non-indian-pl,yab,tototom,,n,non_Indian-PL,toto tom,,,,,
meyiwiti-2-lk-house-pert,yab,mëyïwïtï,,n,2-LK-house-PERT,më y ïwïtï ∅,,,,,
mukukem-child-prop-nmlz,yab,mukukem,,n,child-PROP-NMLZ,muku ke m,,,,,
tayamaneri-3p-make-ipfv,yab,tayamanëri,,vt,3P-make-IPFV,ta yamanë ri,,,,,
yatunu-day,yab,yatunu,,n,day,yatunu,,,,,
takino-3-younger-brother-pert,yab,takino,,n,3-younger_brother-PERT,t akino ∅,,,,,
pene-piranha,yab,pene,,n,piranha,pene,,,,,
sampu-black-piranha,yab,sampu,,n,black_piranha,sampu,,,,,
tayojtese-3p-fish-with-hook-pst,yab,tayojtëse,,vt,3P-fish_with_hook-PST,ta yojtë se,,,,,
karasakem-white-nmlz,yab,karasakem,,n,white-NMLZ,karasake m,,,,,
tayantojpe-3p-pick-up-fut,yab,tayantojpe,,vt,3P-pick_up-FUT,ta yan tojpe,,,,,
tayenepo-3p-eat-meat-des-ipfv,yab,tayënëpo,,vt,3P-eat(meat)-DES-IPFV,ta yënë po ∅,,,,,
