ID,Process_ID,Target_ID,Source_ID,Root_ID,Stempart_IDs,Comment
akita-fill-with-worms,tavbz,akita-fill-with-worms,aki-worm,,akita-fill-with-worms-1,
apita-ripen,tavbz,apita-ripen,api-ripeness,,apita-ripen-1,
amuta-ripen,tavbz,amuta-ripen,amu-ripeness,,amuta-ripen-1,
chijchiputa-move-body,tavbz,chijchiputa-move-body,chijchipu-body-movement,,chijchiputa-move-body-1,
kasota-fatten,tavbz,kasota-fatten,kaso-fat,,kasota-fatten-1,
takunuta-slack-off,tavbz,takunuta-slack-off,takunu-laziness,,takunuta-slack-off-1,
werewereta-swarm-mosquitos,tavbz,werewereta-swarm-mosquitos,werewere-mosquito-sp,,werewereta-swarm-mosquitos-1,
keyata-grow,tavbz,keyata-grow,,,keyeta-grow-1,
majta-become-thin,tavbz,majta-become-thin,,,majta-become-thin-1,
paijta-swell-river,tavbz,paijta-swell-river,,,paijta-swell-river-1,
wenaka-vomit,kavbz,wenaka-vomit,wena-vomit,,wenaka-vomit-1,
ajpachika-weed,kavbz,ajpachika-weed,ajpachi-undergrowth,,ajpachika-weed-1,
mejyaka-uncover,kavbz,mejyaka-uncover,mejya-cover,,mejyaka-uncover-1,
moronka-make-suffer,kavbz,moronka-make-suffer,moroni-pain,,moronka-make-suffer-1,
mujnaka-dig-out,kavbz,mujnaka-dig-out,mujna-grave,,mujnaka-dig-out-1,
pataka-take-out,kavbz,pataka-take-out,pata-village,,pataka-take-out-1,
katupuma-pile-up,macaus,katupuma-pile-up,,,katupuma-pile-up-1,
keyama-raise,macaus,keyama-raise,,,keyama-raise-1,
kirima-thicken,macaus,kirima-thicken,,,kirima-thicken-1,
morontama-cause-pain,macaus,morontama-cause-pain,moronta-hurt,,morontama-cause-pain-2,
pejma-bewitch,macaus,pejma-bewitch,,,pejma-bewitch-1,
yajwema-sweeten,macaus,yajwema-sweeten,,,yajwema-sweeten-1,
yapima-make-worse,macaus,yapima-make-worse,,,yapima-make-worse-1,
yatuma-warm,macaus,yatuma-warm,,,yatuma-warm-1,
yerema-feed,macaus,yerema-feed,,,erema-feed-1,
yakarama-tell,macaus,yakarama-tell,yakara-believe,,yakarama-tell-1,
ejnai-make-self,detrz,ejnai-make-self,nai-do,,ejnai-make-self-0,
ejwenaka-vomit,detrz,ejwenaka-vomit,wenaka-vomit,,ejwenaka-vomit-0,
serema-eat,detrz,serema-eat,yerema-feed,,serema-eat-0,
senka-finish,detrz,senka-finish,enka-finish,,senka-finish-0,
ejneme-remain,detrz,ejneme-remain,neme-leave,,ejneme-remain-0,
senejka-stay,detrz,senejka-stay,enejka-watch,,senejka-stay-0,
apataka-come-out,detrz,apataka-come-out,pataka-take-out,,apataka-come-out-0,
sereka-become-tired,detrz,sereka-become-tired,,,sereka-become-tired-0,
esene-see-self,detrz,esene-see-self,ini-see,,esene-see-self-0,
atapej-seize-on,detrz,atapej-seize-on,,,atapej-seize-on-0,
ejpenaka-return,detrz,ejpenaka-return,penaka-return,,ejpenaka-return-0,
kojpaye-at-night,yeadvz,kojpaye-at-night,kojpa-night,,kojpaye-at-night-1,
kamprake-big,keprop,kamprake-big,kampara-big,,kamprake-big-1,
tejpore-tasty,readvz,tejpore-tasty,,,tejpore-tasty-1,
tapire-red,readvz,tapire-red,,,tapire-red-1,
pechine-odorous,neadvz,pechine-odorous,,,pochine-odorous-1,
makepijke-second-mother,pijkedim,makepijke-second-mother,make-mom,,makepijke-second-mother-1,
meteye-thin,yeadvz,meteye-thin,,,meteye-thin-1,
mujnajte-bury,jtevbz,mujnajte-bury,mujna-grave,,mujnajte-bury-1,
asereke-dry-cough-prop,keprop,asereke-dry-cough-prop,asere-dry-cough,,asereke-dry-cough-prop-1,
enirono-now-nmlz,anonmlz,enirono-now-nmlz,eniro-now,,enirono-now-nmlz-1,
ijmokani-cook-agtnmlz,ninmlz,ijmokani-cook-agtnmlz,ijmoka-cook,,ijmokani-cook-agtnmlz-1,
kamparake-big-prop,keprop,kamparake-big-prop,kampara-big,,kamparake-big-prop-1,
kereke-old-prop,keprop,kereke-old-prop,kere-old,,kereke-old-prop-1,
keyari-think-acnnmlz,rinmlz,keyari-think-acnnmlz,keya-think,,keyari-think-acnnmlz-1,
nonoke-earth-prop,keprop,nonoke-earth-prop,nono-earth,,nonoke-earth-prop-1,
nopano-good-nmlz,anonmlz,nopano-good-nmlz,nop-good,,nopano-good-nmlz-1,
pejmani-bewitch-agtnmlz,ninmlz,pejmani-bewitch-agtnmlz,pejma-bewitch,,pejmani-bewitch-agtnmlz-2,
teijpono-far-nmlz,anonmlz,teijpono-far-nmlz,teijpo-far-1,,teijpono-far-nmlz-1,
tejporemi-tasty-nmlz,minmlz,tejporemi-tasty-nmlz,tejpore-tasty,,tejporemi-tasty-nmlz-2,
weseyuri-be-brave-acnnmlz,rinmlz,weseyuri-be-brave-acnnmlz,weseyu-be-brave,,weseyuri-be-brave-acnnmlz-1,
tari-say-acnnmlz,rinmlz,tari-say-acnnmlz,ta-say,,tari-say-acnnmlz-1,
chiri-cop-acnnmlz,rinmlz,chiri-cop-acnnmlz,chi-cop,,chiri-cop-acnnmlz-1,
yenese-eat-meat-ptcp,septcp,yenese-eat-meat-ptcp,yene-eat-meat,,yenese-eat-meat-ptcp-1,
tajtane-say-cncs,tanecncs,tajtane-say-cncs,taj-say,,tajtane-say-cncs-1,
tajtoj-say-circ-nmlz,toponmlz,tajtoj-say-circ-nmlz,taj-say,,tajtoj-say-circ-nmlz-1,
inijpe-see-pst-acnnmlz,jpenmlz,inijpe-see-pst-acnnmlz,ini-see,,inijpe-see-pst-acnnmlz-1,
sereke-bitter-manioc-prop,keprop,sereke-bitter-manioc-prop,sere-bitter-manioc,,sereke-bitter-manioc-prop-1,
yemepeti-eat-fruits-eggs-soup-plur,petiplur,yemepeti-eat-fruits-eggs-soup-plur,yeme-eat-fruits-eggs-soup,,yemepeti-eat-fruits-eggs-soup-plur-1,
keyatajpe-grow-pst-acnnmlz,jpenmlz,keyatajpe-grow-pst-acnnmlz,keyata-grow,,keyatajpe-grow-pst-acnnmlz-2,
enireno-now-nmlz,anonmlz,enireno-now-nmlz,enire-now,,enireno-now-nmlz-1,
yaweno-loc-nmlz,anonmlz,yaweno-loc-nmlz,yawe-loc,,yaweno-loc-nmlz-1,
nairi-do-acnnmlz,rinmlz,nairi-do-acnnmlz,nai-do,,nairi-do-acnnmlz-1,
ijmojkatopo-cook-circ-nmlz,toponmlz,ijmojkatopo-cook-circ-nmlz,ijmojka-cook,,ijmojkatopo-cook-circ-nmlz-1,
kani-take-out-agtnmlz,ninmlz,kani-take-out-agtnmlz,ka-take-out,,kani-take-out-agtnmlz-1,
turi-give-acnnmlz,rinmlz,turi-give-acnnmlz,tu-give,,turi-give-acnnmlz-1,
empampej-learn-plur,petiplur,empampej-learn-plur,empam-learn,,empampej-learn-plur-1,
moronkapo-make-suffer-des,podes,moronkapo-make-suffer-des,moronka-make-suffer,,moronkapo-make-suffer-des-2,
taropo-say-des,podes,taropo-say-des,taro-say,,taropo-say-des-1,
empamtoj-learn-circ-nmlz,toponmlz,empamtoj-learn-circ-nmlz,empam-learn,,empamtoj-learn-circ-nmlz-1,
tajpeti-say-plur,petiplur,tajpeti-say-plur,taj-say,,tajpeti-say-plur-1,
pojteri-want-acnnmlz,rinmlz,pojteri-want-acnnmlz,pojte-want,,pojteri-want-acnnmlz-1,
wejpo-come-des,podes,wejpo-come-des,wej-come,,wejpo-come-des-1,
yepematopo-pay-circ-nmlz,toponmlz,yepematopo-pay-circ-nmlz,yepema-pay,,yepematopo-pay-circ-nmlz-1,
warotatopo-work-circ-nmlz,toponmlz,warotatopo-work-circ-nmlz,warota-work,,warotatopo-work-circ-nmlz-1,
yakaramari-tell-acnnmlz,rinmlz,yakaramari-tell-acnnmlz,yakarama-tell,,yakaramari-tell-acnnmlz-2,
serekapo-become-tired-des,podes,serekapo-become-tired-des,sereka-become-tired,,serekapo-become-tired-des-2,
pokono-about-nmlz,anonmlz,pokono-about-nmlz,poko-about,,pokono-about-nmlz-1,
tunamri-hide-acnnmlz,rinmlz,tunamri-hide-acnnmlz,tunam-hide,,tunamri-hide-acnnmlz-1,
yarikatopo-laugh-circ-nmlz,toponmlz,yarikatopo-laugh-circ-nmlz,yarika-laugh,,yarikatopo-laugh-circ-nmlz-1,
itapo-hear-des,podes,itapo-hear-des,ita-hear,,itapo-hear-des-1,
yaruwatopo-laugh-circ-nmlz,toponmlz,yaruwatopo-laugh-circ-nmlz,yaruwa-laugh,,yaruwatopo-laugh-circ-nmlz-1,
iniri-see-acnnmlz,rinmlz,iniri-see-acnnmlz,ini-see,,iniri-see-acnnmlz-1,
yarikase-laugh-ptcp,septcp,yarikase-laugh-ptcp,yarika-laugh,,yarikase-laugh-ptcp-1,
yakaramapeti-tell-plur,petiplur,yakaramapeti-tell-plur,yakarama-tell,,yakaramapeti-tell-plur-2,
yeneni-eat-meat-agtnmlz,ninmlz,yeneni-eat-meat-agtnmlz,yene-eat-meat,,yeneni-eat-meat-agtnmlz-1,
ekejna-where-nmlz,anonmlz,ekejna-where-nmlz,ekej-where,,ekejna-where-nmlz-1,
yapejtane-grab-cncs,tanecncs,yapejtane-grab-cncs,yapej-grab,,yapejtane-grab-cncs-1,
mukupijke-child-dim,pijkedim,mukupijke-child-dim,muku-child,,mukupijke-child-dim-1,
yenepej-eat-meat-plur,petiplur,yenepej-eat-meat-plur,yene-eat-meat,,yenepej-eat-meat-plur-1,
tena-loc-nmlz,anonmlz,tena-loc-nmlz,te-loc,,tena-loc-nmlz-1,
tampapeti-become-angry-plur,petiplur,tampapeti-become-angry-plur,tampa-become-angry,,tampapeti-become-angry-plur-1,
panake-ear-prop,keprop,panake-ear-prop,pana-ear,,panake-ear-prop-1,
samopeti-cry-plur,petiplur,samopeti-cry-plur,samo-cry,,samopeti-cry-plur-1,
tajrominke-bad-omen-prop,keprop,tajrominke-bad-omen-prop,tajromin-bad-omen,,tajrominke-bad-omen-prop-1,
semapej-die-plur,petiplur,semapej-die-plur,sema-die,,semapej-die-plur-1,
semari-die-acnnmlz,rinmlz,semari-die-acnnmlz,sema-die,,semari-die-acnnmlz-1,
esemane-die-inf,neinf,esemane-die-inf,esema-die,,esemane-die-inf-1,
wenkejpej-forget-plur,petiplur,wenkejpej-forget-plur,wenkej-forget,,wenkejpej-forget-plur-1,
weseise-be-brave-ptcp,septcp,weseise-be-brave-ptcp,wesei-be-brave,,weseise-be-brave-ptcp-1,
atapejse-seize-on-ptcp,septcp,atapejse-seize-on-ptcp,atapej-seize-on,,atapejse-seize-on-ptcp-2,
tapej-say-plur,petiplur,tapej-say-plur,ta-say,,tapej-say-plur-1,
inpo-see-des,podes,inpo-see-des,in-see,,inpo-see-des-1,
tawejkari-dawn-acnnmlz,rinmlz,tawejkari-dawn-acnnmlz,tawejka-dawn,,tawejkari-dawn-acnnmlz-1,
yakase-dig-out-ptcp,septcp,yakase-dig-out-ptcp,yaka-dig-out,,yakase-dig-out-ptcp-1,
enteno-here-loc-nmlz,anonmlz,enteno-here-loc-nmlz,ente-here-loc,,enteno-here-loc-nmlz-1,
yenpo-drink-des,podes,yenpo-drink-des,yen-drink,,yenpo-drink-des-1,
yempekapeti-offend-plur,petiplur,yempekapeti-offend-plur,yempeka-offend,,yempekapeti-offend-plur-1,
semajpe-die-pst-acnnmlz,jpenmlz,semajpe-die-pst-acnnmlz,sema-die,,semajpe-die-pst-acnnmlz-1,
yemiri-be-hungry-acnnmlz,rinmlz,yemiri-be-hungry-acnnmlz,yemi-be-hungry-1,,yemiri-be-hungry-acnnmlz-1,
serematojpe-eat-purp,tojpepurp,serematojpe-eat-purp,serema-eat,,serematojpe-eat-purp-3,
semasape-die-abs-nmlz,sapenmlz,semasape-die-abs-nmlz,sema-die,,semasape-die-abs-nmlz-1,
kejmatojpe-hunt-purp,tojpepurp,kejmatojpe-hunt-purp,kejma-hunt,,kejmatojpe-hunt-purp-1,
ijmokatojpe-cook-purp,tojpepurp,ijmokatojpe-cook-purp,ijmoka-cook,,ijmokatojpe-cook-purp-1,
tajtojpe-say-purp,tojpepurp,tajtojpe-say-purp,taj-say,,tajtojpe-say-purp-1,
wejtane-cop-cncs,tanecncs,wejtane-cop-cncs,wej-cop,,wejtane-cop-cncs-1,
inse-see-ptcp,septcp,inse-see-ptcp,in-see,,inse-see-ptcp-1,
ijmojkani-cook-agtnmlz,ninmlz,ijmojkani-cook-agtnmlz,ijmojka-cook,,ijmojkani-cook-agtnmlz-1,
yanse-pick-up-ptcp,septcp,yanse-pick-up-ptcp,yan-pick-up,,yanse-pick-up-ptcp-1,
tuse-give-ptcp,septcp,tuse-give-ptcp,tu-give,,tuse-give-ptcp-1,
teri-go-acnnmlz,rinmlz,teri-go-acnnmlz,te-go,,teri-go-acnnmlz-1,
itopo-put-circ-nmlz,toponmlz,itopo-put-circ-nmlz,i-put,,itopo-put-circ-nmlz-1,
yantopo-pick-up-circ-nmlz,toponmlz,yantopo-pick-up-circ-nmlz,yan-pick-up,,yantopo-pick-up-circ-nmlz-1,
apatakase-come-out-ptcp,septcp,apatakase-come-out-ptcp,apataka-come-out,,apatakase-come-out-ptcp-3,
yenejpe-eat-meat-pst-acnnmlz,jpenmlz,yenejpe-eat-meat-pst-acnnmlz,yene-eat-meat,,yenejpe-eat-meat-pst-acnnmlz-1,
wejsape-come-abs-nmlz,sapenmlz,wejsape-come-abs-nmlz,wej-come,,wejsape-come-abs-nmlz-1,
apono-later-nmlz,anonmlz,apono-later-nmlz,apo-later,,apono-later-nmlz-1,
moronemi-hurting-nmlz,minmlz,moronemi-hurting-nmlz,morone-hurting,,moronemi-hurting-nmlz-1,
enirem-now-nmlz,minmlz,enirem-now-nmlz,enire-now,,enirem-now-nmlz-1,
tojpapeti-hit-plur,petiplur,tojpapeti-hit-plur,tojpa-hit,,tojpapeti-hit-plur-1,
tani-say-agtnmlz,ninmlz,tani-say-agtnmlz,ta-say,,tani-say-agtnmlz-1,
enijpeteno-one-nmlz,anonmlz,enijpeteno-one-nmlz,enijpete-one,,enijpeteno-one-nmlz-1,
yampej-pick-up-plur,petiplur,yampej-pick-up-plur,yam-pick-up,,yampej-pick-up-plur-1,
weri-kill-acnnmlz,rinmlz,weri-kill-acnnmlz,we-kill,,weri-kill-acnnmlz-1,
epepej-escape-plur,petiplur,epepej-escape-plur,epe-escape,,epepej-escape-plur-1,
wepej-kill-plur,petiplur,wepej-kill-plur,we-kill,,wepej-kill-plur-1,
tajtopo-say-circ-nmlz,toponmlz,tajtopo-say-circ-nmlz,taj-say,,tajtopo-say-circ-nmlz-1,
yojse-eat-starch-ptcp,septcp,yojse-eat-starch-ptcp,yoj-eat-starch,,yojse-eat-starch-ptcp-1,
yense-drink-ptcp,septcp,yense-drink-ptcp,yen-drink,,yense-drink-ptcp-1,
yamanse-make-ptcp,septcp,yamanse-make-ptcp,yaman-make,,yamanse-make-ptcp-1,
yajwemari-sweeten-acnnmlz,rinmlz,yajwemari-sweeten-acnnmlz,yajwema-sweeten,,yajwemari-sweeten-acnnmlz-2,
yeniri-drink-acnnmlz,rinmlz,yeniri-drink-acnnmlz,yeni-drink,,yeniri-drink-acnnmlz-1,
semori-cry-acnnmlz,rinmlz,semori-cry-acnnmlz,semo-cry,,semori-cry-acnnmlz-1,
senkari-finish-acnnmlz,rinmlz,senkari-finish-acnnmlz,senka-finish,,senkari-finish-acnnmlz-2,
chijpe-cop-pst-acnnmlz,jpenmlz,chijpe-cop-pst-acnnmlz,chi-cop,,chijpe-cop-pst-acnnmlz-1,
tarojpe-say-pst-acnnmlz,jpenmlz,tarojpe-say-pst-acnnmlz,taro-say,,tarojpe-say-pst-acnnmlz-1,
watiri-burn-acnnmlz,rinmlz,watiri-burn-acnnmlz,wati-burn,,watiri-burn-acnnmlz-1,
tene-go-inf,neinf,tene-go-inf,te-go,,tene-go-inf-1,
eseneri-see-self-acnnmlz,rinmlz,eseneri-see-self-acnnmlz,esene-see-self,,eseneri-see-self-acnnmlz-2,
seneri-see-self-acnnmlz,rinmlz,seneri-see-self-acnnmlz,sene-see-self,,seneri-see-self-acnnmlz-2,
rokotapeti-become-crazy-plur,petiplur,rokotapeti-become-crazy-plur,rokota-become-crazy,,rokotapeti-become-crazy-plur-2,
patakajpe-take-out-pst-acnnmlz,jpenmlz,patakajpe-take-out-pst-acnnmlz,pataka-take-out,,patakajpe-take-out-pst-acnnmlz-2,
wajpej-burn-plur,petiplur,wajpej-burn-plur,waj-burn,,wajpej-burn-plur-1,
senkase-finish-ptcp,septcp,senkase-finish-ptcp,senka-finish,,senkase-finish-ptcp-2,
yeke-tooth-prop,keprop,yeke-tooth-prop,ye-tooth-1,,yeke-tooth-prop-1,
pojtepo-want-des,podes,pojtepo-want-des,pojte-want,,pojtepo-want-des-1,
warotase-work-ptcp,septcp,warotase-work-ptcp,warota-work,,warotase-work-ptcp-1,
warotari-work-acnnmlz,rinmlz,warotari-work-acnnmlz,warota-work,,warotari-work-acnnmlz-1,
iri-put-acnnmlz,rinmlz,iri-put-acnnmlz,i-put,,iri-put-acnnmlz-1,
naijtopo-do-circ-nmlz,toponmlz,naijtopo-do-circ-nmlz,naij-do,,naijtopo-do-circ-nmlz-1,
warotane-work-inf,neinf,warotane-work-inf,warota-work,,warotane-work-inf-1,
senkapeti-finish-plur,petiplur,senkapeti-finish-plur,senka-finish,,senkapeti-finish-plur-2,
sempinukuri-close-eyes-acnnmlz,rinmlz,sempinukuri-close-eyes-acnnmlz,sempinuku-close-eyes,,sempinukuri-close-eyes-acnnmlz-1,
senkapej-finish-plur,petiplur,senkapej-finish-plur,senka-finish,,senkapej-finish-plur-2,
wajsape-burn-abs-nmlz,sapenmlz,wajsape-burn-abs-nmlz,waj-burn,,wajsape-burn-abs-nmlz-1,
ijmojkase-cook-ptcp,septcp,ijmojkase-cook-ptcp,ijmojka-cook,,ijmojkase-cook-ptcp-1,
ijmojkari-cook-acnnmlz,rinmlz,ijmojkari-cook-acnnmlz,ijmojka-cook,,ijmojkari-cook-acnnmlz-1,
minteno-there-loc-nmlz,anonmlz,minteno-there-loc-nmlz,minte-there-loc,,minteno-there-loc-nmlz-1,
tuni-give-agtnmlz,ninmlz,tuni-give-agtnmlz,tu-give,,tuni-give-agtnmlz-1,
wejkapeti-fall-plur,petiplur,wejkapeti-fall-plur,wejka-fall,,wejkapeti-fall-plur-1,
yapejpo-grab-des,podes,yapejpo-grab-des,yapej-grab,,yapejpo-grab-des-1,
karasakemi-white-nmlz,minmlz,karasakemi-white-nmlz,karasake-white,,karasakemi-white-nmlz-1,
asakeno-two-nmlz,anonmlz,asakeno-two-nmlz,asake-two,,asakeno-two-nmlz-1,
ipo-put-des,podes,ipo-put-des,i-put,,ipo-put-des-1,
semase-die-ptcp,septcp,semase-die-ptcp,sema-die,,semase-die-ptcp-1,
tepej-go-plur,petiplur,tepej-go-plur,te-go,,tepej-go-plur-1,
wepiri-come-acnnmlz,rinmlz,wepiri-come-acnnmlz,wepi-come,,wepiri-come-acnnmlz-1,
winikiri-sleep-acnnmlz,rinmlz,winikiri-sleep-acnnmlz,winiki-sleep,,winikiri-sleep-acnnmlz-1,
sejpejse-dream-ptcp,septcp,sejpejse-dream-ptcp,sejpej-dream,,sejpejse-dream-ptcp-2,
sejpetiri-dream-acnnmlz,rinmlz,sejpetiri-dream-acnnmlz,sejpeti-dream,,sejpetiri-dream-acnnmlz-2,
sojpase-take-out-ptcp,septcp,sojpase-take-out-ptcp,sojpa-take-out,,sojpase-take-out-ptcp-1,
sematopo-die-circ-nmlz,toponmlz,sematopo-die-circ-nmlz,sema-die,,sematopo-die-circ-nmlz-1,
wejkase-fall-ptcp,septcp,wejkase-fall-ptcp,wejka-fall,,wejkase-fall-ptcp-1,
empampo-learn-des,podes,empampo-learn-des,empam-learn,,empampo-learn-des-1,
intojpe-see-purp,tojpepurp,intojpe-see-purp,in-see,,intojpe-see-purp-1,
winijpo-sleep-des,podes,winijpo-sleep-des,winij-sleep,,winijpo-sleep-des-1,
kuneri-cook-acnnmlz,rinmlz,kuneri-cook-acnnmlz,kune-cook,,kuneri-cook-acnnmlz-1,
yojtopo-eat-starch-circ-nmlz,toponmlz,yojtopo-eat-starch-circ-nmlz,yoj-eat-starch,,yojtopo-eat-starch-circ-nmlz-1,
sukasemi-all-nmlz,minmlz,sukasemi-all-nmlz,sukase-all,,sukasemi-all-nmlz-1,
nankajpe-find-pst-acnnmlz,jpenmlz,nankajpe-find-pst-acnnmlz,nanka-find,,nankajpe-find-pst-acnnmlz-1,
yeniri-drink-acnnmlz-1,rinmlz,yeniri-drink-acnnmlz-1,yeni-drink-1,,yeniri-drink-acnnmlz-1-1,
intane-see-cncs,tanecncs,intane-see-cncs,in-see,,intane-see-cncs-1,
wejtetoj-go-down-circ-nmlz,toponmlz,wejtetoj-go-down-circ-nmlz,wejte-go-down,,wejtetoj-go-down-circ-nmlz-1,
senkatoj-finish-circ-nmlz,toponmlz,senkatoj-finish-circ-nmlz,senka-finish,,senkatoj-finish-circ-nmlz-2,
patakase-take-out-ptcp,septcp,patakase-take-out-ptcp,pataka-take-out,,patakase-take-out-ptcp-2,
keyetase-grow-ptcp,septcp,keyetase-grow-ptcp,keyeta-grow,,keyetase-grow-ptcp-2,
chijtoj-cop-circ-nmlz,toponmlz,chijtoj-cop-circ-nmlz,chij-cop,,chijtoj-cop-circ-nmlz-1,
nemepeti-leave-plur,petiplur,nemepeti-leave-plur,neme-leave,,nemepeti-leave-plur-1,
yujwapeti-burn-plur,petiplur,yujwapeti-burn-plur,yujwa-burn,,yujwapeti-burn-plur-1,
keyatapej-grow-plur,petiplur,keyatapej-grow-plur,keyata-grow,,keyatapej-grow-plur-2,
papapijke-father-dim,pijkedim,papapijke-father-dim,papa-father,,papapijke-father-dim-1,
tesape-go-abs-nmlz,sapenmlz,tesape-go-abs-nmlz,te-go,,tesape-go-abs-nmlz-1,
yawankatoj-kill-circ-nmlz,toponmlz,yawankatoj-kill-circ-nmlz,yawanka-kill,,yawankatoj-kill-circ-nmlz-1,
yamanpej-make-plur,petiplur,yamanpej-make-plur,yaman-make,,yamanpej-make-plur-1,
poyeno-above-nmlz,anonmlz,poyeno-above-nmlz,poye-above,,poyeno-above-nmlz-1,
yenepepej-send-away-plur,petiplur,yenepepej-send-away-plur,yenepe-send-away,,yenepepej-send-away-plur-1,
wejpej-come-plur,petiplur,wejpej-come-plur,wej-come,,wejpej-come-plur-1,
tampasape-become-angry-abs-nmlz,sapenmlz,tampasape-become-angry-abs-nmlz,tampa-become-angry,,tampasape-become-angry-abs-nmlz-1,
winijtane-sleep-cncs,tanecncs,winijtane-sleep-cncs,winij-sleep,,winijtane-sleep-cncs-1,
yawankapej-kill-plur,petiplur,yawankapej-kill-plur,yawanka-kill,,yawankapej-kill-plur-1,
yaketepej-cut-plur,petiplur,yaketepej-cut-plur,yakete-cut,,yaketepej-cut-plur-1,
inchaj-see-abs-nmlz,sapenmlz,inchaj-see-abs-nmlz,in-see,,inchaj-see-abs-nmlz-1,
yawono-loc-nmlz,anonmlz,yawono-loc-nmlz,yawo-loc,,yawono-loc-nmlz-1,
yemese-eat-fruits-eggs-soup-ptcp,septcp,yemese-eat-fruits-eggs-soup-ptcp,yeme-eat-fruits-eggs-soup,,yemese-eat-fruits-eggs-soup-ptcp-1,
yemepo-eat-fruits-eggs-soup-des,podes,yemepo-eat-fruits-eggs-soup-des,yeme-eat-fruits-eggs-soup,,yemepo-eat-fruits-eggs-soup-des-1,
nopan-good-nmlz,anonmlz,nopan-good-nmlz,nop-good,,nopan-good-nmlz-1,
wetopo-kill-circ-nmlz,toponmlz,wetopo-kill-circ-nmlz,we-kill,,wetopo-kill-circ-nmlz-1,
tapiremi-red-nmlz,minmlz,tapiremi-red-nmlz,tapire-red,,tapiremi-red-nmlz-2,
winijsape-sleep-abs-nmlz,sapenmlz,winijsape-sleep-abs-nmlz,winij-sleep,,winijsape-sleep-abs-nmlz-1,
apatakari-come-out-acnnmlz,rinmlz,apatakari-come-out-acnnmlz,apataka-come-out,,apatakari-come-out-acnnmlz-3,
waraijtoke-husband-prop,keprop,waraijtoke-husband-prop,waraijto-husband,,waraijtoke-husband-prop-1,
patakapeti-take-out-plur,petiplur,patakapeti-take-out-plur,pataka-take-out,,patakapeti-take-out-plur-2,
esemapo-die-des,podes,esemapo-die-des,esema-die,,esemapo-die-des-1,
semapo-die-des,podes,semapo-die-des,sema-die,,semapo-die-des-1,
nejtane-bring-cncs,tanecncs,nejtane-bring-cncs,nej-bring,,nejtane-bring-cncs-1,
yanri-pick-up-acnnmlz,rinmlz,yanri-pick-up-acnnmlz,yan-pick-up,,yanri-pick-up-acnnmlz-1,
winijse-sleep-ptcp,septcp,winijse-sleep-ptcp,winij-sleep,,winijse-sleep-ptcp-1,
