ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
moronkapo-make-suffer-des-ipfv-2-ipfv,moronkapo-make-suffer-des,ipfv,moronkapo-make-suffer-des-ipfv-2,
taropo-say-des-ipfv-2-ipfv,taropo-say-des,ipfv,taropo-say-des-ipfv-2,
uya-ratomo-1-grandchild-pert-pl-0-1,ya-ra-grandchild,1,uya-ratomo-1-grandchild-pert-pl-0,
uya-ratomo-1-grandchild-pert-pl-2-pert,ya-ra-grandchild,pert,uya-ratomo-1-grandchild-pert-pl-2,
uya-ratomo-1-grandchild-pert-pl-3-pl,ya-ra-grandchild,pl,uya-ratomo-1-grandchild-pert-pl-3,
keyaja-think-neg-1-neg,keya-think,neg,keyaja-think-neg-1,
chikontomo-cop-ipfv-pl-1-ipfv,chi-cop,ipfv,chikontomo-cop-ipfv-pl-1,
chikontomo-cop-ipfv-pl-2-pl,chi-cop,pl,chikontomo-cop-ipfv-pl-2,
yenepeja-send-away-neg-1-neg,yenepe-send-away,neg,yenepeja-send-away-neg-1,
empamijakontomo-learn-neg-pl-1-neg,empami-learn,neg,empamijakontomo-learn-neg-pl-1,
empamijakontomo-learn-neg-pl-2-pl,empami-learn,pl,empamijakontomo-learn-neg-pl-2,
tajpetiri-say-plur-ipfv-2-ipfv,tajpeti-say-plur,ipfv,tajpetiri-say-plur-ipfv-2,
mukutomo-child-pl-1-pl,muku-child,pl,mukutomo-child-pl-1,
senejkaja-stay-neg-1-neg,senejka-stay,neg,senejkaja-stay-neg-1,
moronkaja-make-suffer-neg-1-neg,moronka-make-suffer,neg,moronkaja-make-suffer-neg-1,
yawakaja-sow-neg-1-neg,yawaka-sow,neg,yawakaja-sow-neg-1,
wejsaj-cop-pfv-1-pfv,wej-cop,pfv,wejsaj-cop-pfv-1,
wejpo-come-des-ipfv-2-ipfv,wejpo-come-des,ipfv,wejpo-come-des-ipfv-2,
yareja-bring-neg-1-neg,yare-bring,neg,yareja-bring-neg-1,
empamipeke-learn-prog-tr-1-prog,empami-learn,prog,empamipeke-learn-prog-tr-1,
empamiri-learn-ipfv-1-ipfv,empami-learn,ipfv,empamiri-learn-ipfv-1,
taro-say-ipfv-1-ipfv,taro-say,ipfv,taro-say-ipfv-1,
mukuru-child-pert-1-pert,muku-child,pert,mukuru-child-pert-1,
ijteri-3-go-ipfv-0-3,te-go,3,ijteri-3-go-ipfv-0,
ijteri-3-go-ipfv-2-ipfv,te-go,ipfv,ijteri-3-go-ipfv-2,
ijtetojpe-3-go-fut-0-3,te-go,3,ijtetojpe-3-go-fut-0,
ijtetojpe-3-go-fut-2-fut,te-go,fut,ijtetojpe-3-go-fut-2,
tapojteja-3p-want-neg-0-3,pojte-want,3,tapojteja-3p-want-neg-0,
tapojteja-3p-want-neg-2-neg,pojte-want,neg,tapojteja-3p-want-neg-2,
iniri-see-ipfv-1-ipfv,ini-see,ipfv,iniri-see-ipfv-1,
meyarika-2-laugh-ipfv-0-2,yarika-laugh,2,meyarika-2-laugh-ipfv-0,
meyarika-2-laugh-ipfv-2-ipfv,yarika-laugh,ipfv,meyarika-2-laugh-ipfv-2,
meyaruwari-2-laugh-ipfv-0-2,yaruwa-laugh,2,meyaruwari-2-laugh-ipfv-0,
meyaruwari-2-laugh-ipfv-2-ipfv,yaruwa-laugh,ipfv,meyaruwari-2-laugh-ipfv-2,
mepekepene-2-alone-0-2,pekepene-alone,2,mepekepene-2-alone-0,
yaruwaja-laugh-neg-1-neg,yaruwa-laugh,neg,yaruwaja-laugh-neg-1,
yaruwari-laugh-ipfv-1-ipfv,yaruwa-laugh,ipfv,yaruwari-laugh-ipfv-1,
serekapo-become-tired-des-ipfv-2-ipfv,serekapo-become-tired-des,ipfv,serekapo-become-tired-des-ipfv-2,
iri-put-ipfv-1-ipfv,i-put,ipfv,iri-put-ipfv-1,
yarikari-laugh-ipfv-1-ipfv,yarika-laugh,ipfv,yarikari-laugh-ipfv-1,
yarikaja-laugh-neg-1-neg,yarika-laugh,neg,yarikaja-laugh-neg-1,
taitapo-3p-hear-des-ipfv-0-3,itapo-hear-des,3,taitapo-3p-hear-des-ipfv-0,
