ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,Media_ID,Morpho_Segments
keyape-cautious,yab,think-ACNNMLZ=ESS,këyape,,,,YarLex_0736_AnFo_keyape,
weseyupe-brave,yab,be_brave-ACNNMLZ=ESS,weseyupe,,,,YarLex_2406_AnFo_wesepoya,
